Team,Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Span,Start Date,End Date
KKR,Harshit Rana,7,7,4,4,0,0,4,,0.571,2025-2025,,
KKR,AM Rahane,7,7,4,4,0,0,4,,0.571,2025-2025,,
KKR,Ramandeep Singh,7,7,4,4,0,0,4,,0.571,2025-2025,,
KKR,Q de Kock,7,7,3,3,0,3,0,,0.428,2025-2025,,
KKR,VR Iyer,7,7,3,3,0,0,3,,0.428,2025-2025,,
KKR,MM Ali,3,3,2,2,0,0,2,,0.666,2025-2025,,
KKR,VG Arora,6,6,2,2,0,0,2,,0.333,2025-2025,,
KKR,AD Russell,7,7,2,2,0,0,2,,0.285,2025-2025,,
KKR,RK Singh,7,7,2,2,0,0,2,,0.285,2025-2025,,
KKR,SH Johnson,4,4,1,1,0,0,1,,0.25,2025-2025,,
KKR,SP Narine,6,6,1,1,0,0,1,,0.166,2025-2025,,
KKR,A Raghuvanshi,6,6,1,1,0,0,1,,0.166,2025-2025,,
KKR,CV Varun,7,7,1,1,0,0,1,,0.142,2025-2025,,
KKR,A Nortje,1,1,0,0,0,0,0,0.0,0.0,2025-2025,,
KKR,MK Pandey,1,1,0,0,0,0,0,0.0,0.0,2025-2025,,
CSK,MS Dhoni,7,7,7,3,4,3,0,,1.0,2025-2025,,
CSK,R Ashwin,6,6,4,4,0,0,4,,0.666,2025-2025,,
CSK,RD Gaikwad,5,5,3,3,0,0,3,,0.6,2025-2025,,
CSK,RA Jadeja,7,7,3,3,0,0,3,,0.428,2025-2025,,
CSK,S Dube,7,7,2,2,0,0,2,,0.285,2025-2025,,
CSK,M Pathirana,5,5,2,2,0,0,2,,0.4,2025-2025,,
CSK,R Ravindra,7,7,2,2,0,0,2,,0.285,2025-2025,,
CSK,V Shankar,5,5,2,2,0,0,2,,0.4,2025-2025,,
CSK,DP Conway,3,3,1,1,0,0,1,,0.333,2025-2025,,
CSK,SM Curran,2,2,1,1,0,0,1,,0.5,2025-2025,,
CSK,DJ Hooda,3,3,1,1,0,0,1,,0.333,2025-2025,,
CSK,SK Rasheed,1,1,1,1,0,0,1,,1.0,2025-2025,,
CSK,RA Tripathi,5,5,1,1,0,0,1,,0.2,2025-2025,,
CSK,KK Ahmed,7,7,0,0,0,0,0,0.0,0.0,2025-2025,,
CSK,NT Ellis,1,1,0,0,0,0,0,0.0,0.0,2025-2025,,
CSK,A Kamboj,2,2,0,0,0,0,0,0.0,0.0,2025-2025,,
CSK,Mukesh Choudhary,2,2,0,0,0,0,0,0.0,0.0,2025-2025,,
CSK,Noor Ahmad,7,7,0,0,0,0,0,0.0,0.0,2025-2025,,
CSK,J Overton,2,2,0,0,0,0,0,0.0,0.0,2025-2025,,
MI,Naman Dhir,7,7,9,9,0,0,9,,1.285,2025-2025,,
MI,RD Rickelton,7,7,7,5,2,5,0,,1.0,2025-2025,,
MI,NT Tilak Varma,7,7,4,4,0,0,4,,0.571,2025-2025,,
MI,WG Jacks,6,6,3,3,0,0,3,,0.5,2025-2025,,
MI,MJ Santner,7,7,3,3,0,0,3,,0.428,2025-2025,,
MI,HH Pandya,6,6,2,2,0,0,2,,0.333,2025-2025,,
MI,Ashwani Kumar,2,2,1,1,0,0,1,,0.5,2025-2025,,
MI,RA Bawa,1,1,1,1,0,0,1,,1.0,2025-2025,,
MI,JJ Bumrah,3,3,1,1,0,0,1,,0.333,2025-2025,,
MI,DL Chahar,7,7,1,1,0,0,1,,0.142,2025-2025,,
MI,V Puthur,4,4,1,1,0,0,1,,0.25,2025-2025,,
MI,PVSN Raju,2,2,1,1,0,0,1,,0.5,2025-2025,,
MI,KV Sharma,2,2,1,1,0,0,1,,0.5,2025-2025,,
MI,SA Yadav,7,7,1,1,0,0,1,,0.142,2025-2025,,
MI,TA Boult,7,7,0,0,0,0,0,0.0,0.0,2025-2025,,
MI,R Minz,2,2,0,0,0,0,0,0.0,0.0,2025-2025,,
MI,Mujeeb Ur Rahman,1,1,0,0,0,0,0,0.0,0.0,2025-2025,,
MI,RG Sharma,6,6,0,0,0,0,0,0.0,0.0,2025-2025,,
RCB,JM Sharma,7,7,10,9,1,9,0,,1.428,2025-2025,,
RCB,TH David,7,7,5,5,0,0,5,,0.714,2025-2025,,
RCB,PD Salt,7,7,5,5,0,0,5,,0.714,2025-2025,,
RCB,LS Livingstone,7,7,3,3,0,0,3,,0.428,2025-2025,,
RCB,V Kohli,7,7,2,2,0,0,2,,0.285,2025-2025,,
RCB,D Padikkal,6,6,1,1,0,0,1,,0.166,2025-2025,,
RCB,KH Pandya,7,7,1,1,0,0,1,,0.142,2025-2025,,
RCB,RM Patidar,7,7,1,1,0,0,1,,0.142,2025-2025,,
RCB,Rasikh Salam,2,2,1,1,0,0,1,,0.5,2025-2025,,
RCB,Suyash Sharma,6,6,1,1,0,0,1,,0.166,2025-2025,,
RCB,Yash Dayal,7,7,1,1,0,0,1,,0.142,2025-2025,,
RCB,MS Bhandage,1,1,0,0,0,0,0,0.0,0.0,2025-2025,,
RCB,JR Hazlewood,7,7,0,0,0,0,0,0.0,0.0,2025-2025,,
RCB,B Kumar,6,6,0,0,0,0,0,0.0,0.0,2025-2025,,
SRH,PJ Cummins,7,7,4,4,0,0,4,,0.571,2025-2025,,
SRH,H Klaasen,7,7,4,4,0,4,0,,0.571,2025-2025,,
SRH,Zeeshan Ansari,5,5,4,4,0,0,4,,0.8,2025-2025,,
SRH,TM Head,7,7,3,3,0,0,3,,0.428,2025-2025,,
SRH,AU Verma,7,7,3,3,0,0,3,,0.428,2025-2025,,
SRH,Ishan Kishan,7,7,2,2,0,0,2,,0.285,2025-2025,,
SRH,A Manohar,4,4,2,2,0,0,2,,0.5,2025-2025,,
